2023-05-23 19:08:30.284 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2335 ms
2023-05-23 19:08:30.913 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-05-23 19:08:30.926 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2023-05-23 19:11:34.252 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-05-23 19:11:34.321 [main] INFO  com.soft2242.one.ServerApplication - Starting ServerApplication using Java 17.0.5 with PID 16772 (C:\Users\lenovo\Desktop\新建文件夹\community-admin-api\admin-api-server\target\classes started by lenovo in C:\Users\lenovo\Desktop\新建文件夹\community-admin-api)
2023-05-23 19:11:34.322 [main] INFO  com.soft2242.one.ServerApplication - The following 1 profile is active: "dev"
2023-05-23 19:11:35.574 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-05-23 19:11:35.577 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-05-23 19:11:35.639 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 43 ms. Found 0 Redis repository interfaces.
2023-05-23 19:11:36.810 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-23 19:11:36.822 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-23 19:11:36.823 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-23 19:11:36.823 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-05-23 19:11:36.944 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-23 19:11:36.945 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2562 ms
2023-05-23 19:11:39.364 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@24e7087a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5bb3dee7, org.springframework.security.web.context.SecurityContextHolderFilter@1aaf73b7, org.springframework.security.web.header.HeaderWriterFilter@7f02b2d4, org.springframework.security.web.authentication.logout.LogoutFilter@3186f8f5, com.soft2242.one.base.security.filter.AuthenticationTokenFilter@6de33fde, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5e0442dd, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@18e76101, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@284f25e6, org.springframework.security.web.session.SessionManagementFilter@366bf608, org.springframework.security.web.access.ExceptionTranslationFilter@1d535b78, org.springframework.security.web.access.intercept.AuthorizationFilter@4a773f08]
2023-05-23 19:11:39.902 [main] INFO  com.fhs.common.spring.SpringContextUtil - ------SpringContextUtil setApplicationContext-------
2023-05-23 19:11:40.375 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-23 19:11:40.407 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-23 19:11:40.419 [main] INFO  com.soft2242.one.ServerApplication - Started ServerApplication in 7.418 seconds (process running for 8.628)
2023-05-23 19:11:55.834 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-05-23 19:11:55.898 [main] INFO  com.soft2242.one.ServerApplication - Starting ServerApplication using Java 17.0.5 with PID 5124 (C:\Users\lenovo\Desktop\新建文件夹\community-admin-api\admin-api-server\target\classes started by lenovo in C:\Users\lenovo\Desktop\新建文件夹\community-admin-api)
2023-05-23 19:11:55.900 [main] INFO  com.soft2242.one.ServerApplication - The following 1 profile is active: "dev"
2023-05-23 19:11:57.019 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-05-23 19:11:57.022 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-05-23 19:11:57.079 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 39 ms. Found 0 Redis repository interfaces.
2023-05-23 19:11:58.229 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-23 19:11:58.242 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-23 19:11:58.243 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-23 19:11:58.243 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-05-23 19:11:58.352 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
